Designation In English,المسمى الوظيفي بالإنجليزي
"Do not update, but insert new records.","إضافة القيم الجديدة, دون تحديثها"
Submit after importing.,اعتماد بعد اﻹستيراد
Do not send Emails.,لا ترسل رسائل بريد إلكتروني.
Sale Asset,بيع الأصل
Scrap Asset,التخلص من الأصل
Make Purchase Invoice,إنشاء فاتورة شراء
Material Request {0} is cancelled or stopped,طلب المواد {0} تم إلغاؤه أو إيقافه
Background Jobs,وظائف في الخلفية
No pending or current jobs for this site,لا توجد وظائف معلقة أو حالية لهذا الموقع
Install Apps,تثبيت تطبيقات
Create User Email,انشاء بريد إلكتروني
GitHub,جيت هب
Facebook Client ID,اسم مستخدم الفيسبوك
Facebook Client Secret,كلمة مرور الحساب
Google Client Secret,كلمة مرور الحساب
GitHub Client Secret,كلمة مرور الحساب
Frappe Client Secret,كلمة مرور الحساب
Google Client ID,اسم مستخدم جوجل
GitHub Client ID,اسم مستخدم جيت هب
Frappe Client ID,اسم مستخدم فرابي
Frappe Server URL,عنوان URL لخادم فرابي
Social Login Keys,تسجيل دخول مواقع التواصل اﻹجتماعي
LDAP Settings,اعدادات LDAP
OAuth Client,عميل المصادقة
OAuth Provider Settings,إعدادات موفر المصادقة
"URIs for receiving authorization code once the user allows access, as well as failure responses. Typically a REST endpoint exposed by the Client App.",عناوين url لتلقي رمز التفويض بمجرد السماح للمستخدم بالدخول، باﻹضافة الى استجابات الأخطاء. عادةََ نقطة الراحة يتعرض لها التطبيق العميل.
Please enter Employee Id of this sales person,الرجاء إدخال معرف الموظف الخاص بشخص المبيعات هذا
Not permitted,غير مسموح
You do not have enough permissions to access this resource. Please contact your manager to get access.,ليس لديك الأذونات الكافية للوصول إلى هذا المورد. الرجاء الاتصال بالمدير للحصول علي الوصول.
Reference Doctype,إشارة Doctype
Breadcrumbs,مسار التصفح
Route,مسار
Pincode,رمز Pin
Mail List,قائمه البريد
State,الحالة
Transition Rules,قوانين الإنتقال
"Rules for how states are transitions, like next state and which role is allowed to change state etc.",قوانين لكيفية انتقال الحالات، مثل الحالة التالية والدور الذي يسمح لتغيير الحالة الخ.
Rules defining transition of state in the workflow.,القوانين التي تحدد انتقال الحالة في سير العمل.
States,الحالات
"Different ""States"" this document can exist in. Like ""Open"", ""Pending Approval"" etc.","مختلف ""الحالات"" في هذه الوثيقة يمكن أن تكون موجودة في. مثل ""فتح"" أو ""في انتظار الموافقة"" الخ."
Workflow Action Name,إسم إجراء سير العمل
User Cannot Search,المستخدم لا يستطيع أن يبحث
User Cannot Create,المستخدم لا يستطيع أن ينشئ
Permission Rules,قواعد الصلاحيات
Permissions Settings,إعدادات الصلاحيات
Share,مشاركة
Set User Permissions,تعيين صلاحيات المستخدم
This role update User Permissions for a user,يقوم هذا الدور بتحديث صلاحيات المستخدم للمستخدم
View Settings,إعدادات العرض
Module,وحدة
Timeline Field,حقل المخطط الزمني
Quick Entry,إدخال سريع
"Image Field (Must of type ""Attach Image"")","حقل الصورة (يجب أن يكون من نوع ""إرفاق صورة"")"
Is Child Table,جدول تابع
Allow Import (via Data Import Tool),السماح بالاستيراد (عبر أداة استيراد البيانات)
Child Tables are shown as a Grid in other DocTypes.,يتم عرض الجداول التابعة كحقل في أنواع أخرى من المستندات.
Ignore User Permissions,تجاهل صلاحيات المستخدم
Single Types have only one record no tables associated. Values are stored in tabSingles,الأنواع المفردة لها قيمة واحدة فقط ولا يحتوي جداول مقترنة. يتم تخزين القيم في جدول مفرد
Is Single,مفردة
"Make ""name"" searchable in Global Search","اجعل ""الاسم"" قابلا للبحث في البحث العالمي"
User permissions should not apply for this Link,يجب ألا تنطبق صلاحيات المستخدم على هذا الرابط
Web View,عرض الويب
Has Web View,لديه عرض الويب
Track Seen,مشاهدة المسار
Allow Guest to View,السماح للزائر بالعرض
Bold,واضح
Approving User  (above authorized value),موافقة على العضو (أعلى القيمة المعتمدة)
Users and Permissions,المستخدمين والصلاحيات
Report Hide,إخفاء التقرير
Ignore XSS Filter,تجاهل فلتر XSS
Approving Role (above authorized value),الموافقة على الدور (أعلى من القيمة المعتمدة)
Permissions,الصلاحيات
"Don't HTML Encode HTML tags like <script> or just characters like < or >, as they could be intentionally used in this field",عدم ترميز علامات HTML مثل <script> أو أحرف مثل <or>، حيث يمكن استخدامها في هذا الحقل
Role Permission for Page and Report,صلاحيات الدور للصفحة والتقرير
Print Hide,اخفاء الطباعة
Profit & Loss,الربح والخسارة
No Copy,لا يوجد نسخ
Is Submittable,يستطيع الاعتماد
List View Settings,إعدادات عرض القائمة
ASC,تصاعدي
InnoDB,InnoDB
Style,النمط
"Print Width of the field, if the field is a column in a table",حقل عرض الطباعة، إذا كان الحقل عمود في الجدول
"Style represents the button color: Success - Green, Danger - Red, Inverse - Black, Primary - Dark Blue, Info - Light Blue, Warning - Orange",النمط يمثل لون الزر: النجاح-الأخضر ، الخطر-الأحمر ، معكوس-الأسود ، أساسي-أزرق داكن ، المعلومات-أزرق سماوي ، تحذير-برتقالي
DocType on which this Workflow is applicable.,سيتم تطبيق سير العمل على هذا المستند.
This field will appear only if the fieldname defined here has value OR the rules are true (examples): myfield eval:doc.myfield=='My Value' eval:doc.age>18,"سيظهر هذا الحقل فقط إذا كان اسم الحقل المحدد هنا له قيمة أو القواعد صحيحة (أمثلة): 
myfield eval:doc.myfield=='My Value' eval:doc.age>18"
All customizations will be removed. Please confirm.,سيتم إزالة كافة التخصيصات. يرجى التأكيد.
Change Label (via Custom Translation),تغيير التسمية (عبر الترجمة المخصصة)
"For Links, enter the DocType as range.
For Select, enter list of Options, each on a new line.",للارتباطات ، أدخل نوع المستند كنطاق. للتحديد ، ادخل قائمه الخيارات ، كل ادخال في سطر جديد.
If Checked workflow status will not override status in list view,حاله سير العمل المحددة لن تتجاوز الحالة في عرض القائمة
Print Format Builder,منشئ تنسيق الطباعة
Show Users,إظهار المستخدمين
Leave Balance Before Application,رصيد الاجازه قبل الطلب
Monthly Accumulated leave Balance,رصيد الإجازات التراكمي الشهري
Pending,قيد التدقيق
Delivery of the new card under the old card,تسليم البطاقة الجديدة بموجب البطاقة القديمة
Lost or Renew,تجديد او فقدان
Copy of identity card or residence,صورة من بطاقة الهويه او الاقامة
Governmental Documents,مستندات حكومية
Documents,مستندات
Return From Leave Statement,العودة من الاجازة
Expired Date,تاريخ الانتهاء
Attached Image,ارفاق
Employee Badge Request,طلب بطاقة عمل
May Concern Letter,تعريف بالعمل (الى من يهمه الامر)
Health Insurance Info,معلومات التأمين الطبي
Submit to,مرسل الى
To whom it may concern,الى من يهمه الامر
Type in target,اضافة الوجهة
Medical Examination,الفحص الطبي
Other (Visit HR Team),جهات اخرى (راجع الموارد البشرية)
Salary selection,خانة الراتب
Medical Insurance Application,طلب تأمين طبي
Total Salary,الراتب الكلي
Basic Salary,الراتب الرئيسي
salary,الراتب
Badge Received,تم استلام بطاقة العمل
No salary,بدون راتب
Special Case,حالة خاصة
Job Assignment,انتداب
Reports To,المدير المباشر
Internal Assign,داخلي
External Assign,خارجي
Reason,السبب
Assignment Type,نوع الانتداب
Internal Per Diem Rate,تكاليف يومية داخلي
External Per Diem Rate,تكاليف يومية خارجي
World Countries,مدن العالم
Days,الايام
Commitment with bank,الالتزام مع بنك
Internal Ticket Class,تصنيف التذكرة الداخلي
External Ticket Class,تصنيف التذكرة الخارجي
Ticket Cost,قيمة التذكرة
Cost Total,المجموع الكلي
Sponsor,الراعي
Dependents,أفراد الأسرة
Work Start Date,تاريخ البدء في العمل
Type of Contract,نوع العقد
Family Documents,وثائق الأسرة
Reason for end of service,سبب انهاء الخدمة
Birthdate,تاريخ الميلاد
Passport,جواز السفر
End of Service Award,مكافاة نهاية الخدمة
Class,فئة
Duration of Service,مدة الخدمة
Number of Years,عدد السنوات
Award,المكافاة
Number of Months,عدد الاشهر
Employee Civil Number,الرقم الوطني للموظف
Find,ايجاد القيم
Application Type,نوع الطلب
Number of Days,عدد الايام
Over Time,خارج الدوام
Approval,الموافق على خارج الدوام
Approval Name,اسم الموافق
Hours Count,عدد الساعات
Approved Hours,الساعات الموافق عليها
Reson,السبب
Attachement,المرفق
Financial Custody,العهد المالية
Permanent,دائم
Cancel Leave Application,الغاء طلب الاجازة
Employee Resignation,الاستقالة
Cancel Date,تاريخ الالغاء
Last Working Date,تاريخ اخر يوم عمل
Penalty,عقوبة
Submission Date,تاريخ الطلب
Days Count,عدد الأيام
Notice period length,مدة الاعلام قيل الانهاء
Penalty Type,نوع العقوبة
Upload resignation document,رفع ملف الاستقالة
Bank Definition,تعريف البنوك
Opening (Cr),افتتاحي-دائن
Opening (Dr),افتتاحي-مدين
New credit limit is less than current outstanding amount for the customer. Credit limit has to be atleast {0},حد الدائن الجديد أقل من المبلغ المستحق الحالي للعميل. حد الدائن يجب أن يكون على الأقل {0}
Credit limit has been crossed for customer {0} {1}/{2},تم تجاوز حد الدائن للعميل {0} {1}/{2}
Total Difference,اجمالي الدائن
Credit,دائن
Closing (Dr),اغلاق-مدين
Closing (Cr),اغلاق-دائن
Please enter Item first,الرجاء ادخال صنف أولا
Please enter Planned Qty for Item {0} at row {1},الرجاء ادخال الكمية للصنف {0} في الصف {1}
Please enter Production Item first,الرجاء ادخال صنف انتاج أولا
Please select BOM for Item in Row {0},الرجاء ادخال فاتورة مواد للصنف في صف {0}
Production Order cannot be raised against a Item Template,أمر الانتاج لا يمكن أن يرتفع مقابل قالب الصنف
Cannot produce more Item {0} than Sales Order quantity {1},لايمكن انتاج الصنف {0} بأكثر من الكمية المرصودة في أمر البيع {1}
The selected BOMs are not for the same item,فواتير المواد المحددة ليست لنفس الصنف
You can not change rate if BOM mentioned agianst any item,لايمكنك تغيير المعدل اذا كانت فاتورة المواد مدرجة مع أي صنف
Quantity of item obtained after manufacturing / repacking from given quantities of raw materials,كمية الصنف المراد الحصول عليها بعد التصنيع/ اعادة التغليف من الكميات المحددة من المواد الخام
Item to be manufactured or repacked,الصنف المراد تصنيعه أو اعادة تغليفه
Item {0}: Ordered qty {1} cannot be less than minimum order qty {2} (defined in Item).,الصنف {0}: الكمية المطلوبة {1} لا يمكن أن تكون أقل من  {2} (المعرفة في الصنف كحد ادنى).
Warehouse is mandatory for stock Item {0} in row {1},المستودع إلزامي لمخزون الصنف {0} في الصف {1}
{0} in row {1} cannot have both URL and child items,{0} في الصف {1} لا يمكن أن يكون كلا الصنفين URL و صنف فرعي
BOM {0} does not belong to Item {1},فاتورة المواد {0} لا تنتمي الى الصنف {1}
Same item has been entered multiple times.,نفس الصنف تم ادخاله عدة مرات
Quantity required for Item {0} in row {1},الكمية مطلوبة للصنف {0} في الصف {1}
Item {0} does not exist in the system or has expired,الصنف {0} غير موجود في النظام أو انتهت صلاحيته
Row {0}: Currency of the BOM #{1} should be equal to the selected currency {2},السطر {0}: عملة فاتورة المواد رقم {1} يجب ان يساوي العملة التي تم اختيارها
Raw material cannot be same as main Item,المواد الخام لايمكن أن تكون كصنف رئيسي
Item: {0} does not exist in the system,الصنف: {0} غير موجود في النظام
Cost Center For Item with Item Code,مركز التكلفة للصنف برمز الصنف
Service Item,صنف الخدمة
Item Serial No,رقم تسلسل الصنف
"For 'Product Bundle' items, Warehouse, Serial No and Batch No will be considered from the 'Packing List' table. If Warehouse and Batch No are same for all packing items for any 'Product Bundle' item, those values can be entered in the main Item table, values will be copied to 'Packing List' table.",الاصناف حزمة المنتج والمستودع والرقم المتسلسل ورقم الدفعة ستأخذ بعين الاعتبار من جدول قائمة التغليف. اذا كان للمستودع ورقم الدفعة نفس  الصنف من اصناف التغليف لأي صنف من حزمة المنتج. هذه القيم يمكن ادخالها في جدول الصنف الرئيسي. والقيم سيتم نسخها الى جدول قائمة التغليف.
Item Naming By,تسمية الصنف بواسطة
Please enter Item Code to get batch no,الرجاء ادخال رمز الصنف للحصول على رقم الدفعة
No Item with Barcode,لا يوجد صنف مع هذا الباركود
Row #{0}: Set Supplier for item {1},الصف رقم {0}: أدخل مورد الصنف {1}
Please enter item details,الرجاء ادخال تفاصيل الصنف
Item Attribute,سمة الصنف
"Please select Item where ""Is Stock Item"" is ""No"" and ""Is Sales Item"" is ""Yes"" and there is no other Product Bundle","الرجاء اختيار الصنف حيث ""صنف مستودعي"" معلمة ب""لا"" و ""صنف مبيعات"" معلمة ب""نعم"" ولا يوجد هناك حزمة منتج أخرى"
Delivery warehouse required for stock item {0},مستودع التسليم مطلوب للصنف المستودعي {0}
Item Group Tree,شجرة مجموعة الصنف
Actual type tax cannot be included in Item rate in row 1,ضريبة النوع الفعلي لا يمكن تضمينها في معدل الصنف في الصف 1
Compact Item Print,طباعة صنف مضغوط
{0} is not a valid Batch Number for Item {1},{0} ليس رقما صالحا للصنف {1}
Child Item should not be a Product Bundle. Please remove item `{0}` and save,الصنف الفرعي يجب أن لا يكون حزمة منتج. الرجاء ازالة الصنف `{0}` والحفظ
Please select item code,الرجاء تحديد رمز الصنف
Has Serial No' can not be 'Yes' for non-stock item,"الرقم غير التسلسلي ""لا يمكن أن يكون"" نعم ""للصنف الذي لا يخزن"
Parent Item {0} must not be a Stock Item,الصنف الرئيسي {0} يجب أن لا يكون صنف مستودعي
"The total Issue / Transfer quantity {0} in Material Request {1}  \
							cannot be greater than requested quantity {2} for Item {3}","إجمالي العدد / كمية النقل {0} في طلب المواد {1} 
لا يمكن أن تكون أكبر من الكمية المطلوبة {2} للصنف {3}"
"Reference: %s, Item Code: %s and Customer: %s",المرجع: %s ، رمز الصنف: %s والعميل: %s
Purchase Order number required for Item {0},عدد طلب الشراء مطلوب للصنف
Warehouse {0} can not be deleted as quantity exists for Item {1},المستودع {0} لا يمكن حذفه كما توجد الكمية للصنف {1}
Website Image {0} attached to Item {1} cannot be found,صورة الموقع {0} المرفقة بالصنف {1} لا يمكن العثور عليها
Item {0} not found in 'Raw Materials Supplied' table in Purchase Order {1},الصنف  لا يوجد في جدول المواد الخام المعروضة في طلب الشراء {1}
Installation date cannot be before delivery date for Item {0},تاريخ التثبيت لايمكن أن يكون قبل تاريخ التسليم للصنف {0}
Stock cannot exist for Item {0} since has variants,المخزون لا يمكن ان يكون موجود الصنف {0} نظرا لوجود متغيرات
"Is Fixed Asset"" cannot be unchecked, as Asset record exists against the item","الأصول الثابتة ""لا يمكن إلغاء تحديدها، حيث يوجد سجل الأصول مقابل هذا للصنف"
Default Unit of Measure for Item {0} cannot be changed directly because you have already made some transaction(s) with another UOM. You will need to create a new Item to use a different Default UOM.,لا يمكن تغيير وحدة القياس الافتراضية للصنف {0} مباشرة لأنك قمت بالفعل ببعض المعاملات (المعاملة) مع UOM أخرى. ستحتاج إلى إنشاء صنف جديد لاستخدام واجهة مستخدم افتراضية مختلفة.
Item {0} is not a serialized Item,الصنف {0} ليس صنف متسلسلا
Validate Selling Price for Item against Purchase Rate or Valuation Rate,التحقق من صحة سعر البيع للصنف مقابل معدل الشراء أو معدل التقييم
"About Product Bundle

Aggregate group of Items into another Item. This is useful if you are bundling a certain Items into a package and you maintain stock of the packed Items and not the aggregate Item.

The package Item will have Is Stock Item as No and Is Sales Item as Yes.

Example:

If you are selling Laptops and Backpacks separately and have a special price if the customer buys both, then the Laptop + Backpack will be a new Product Bundle Item.","حول حزمة المنتج

المجموعة الإجمالية من العناصر إلى صنف آخر. هذا مفيد إذا كنت تجميع عناصر معينة في حزمة وتحافظ على المخزون من العناصر معبأة وليس الصنف التجميعي.

حزمة الصنف سيكون مخزون الصنف كما لا و مبيعات الصنف كما نعم.

مثال:

إذا كنت تبيع أجهزة الكمبيوتر المحمولة وحقائب الظهر بشكل منفصل ولها سعر خاص إذا كان العميل يشتري على حد سواء، ثم المحمول + حقيبة الظهر سيكون منتج جديد حزمة الصنف."
Warehouse required for stock Item {0},المستودع مطلوب لتخزين الصنف{0}
Sales Order required for Item {0},طلب البيع مطلوب للصنف {0}
Batch number is mandatory for Item {0},رقم الدفعة إلزامي للصنف {0}
UOM coversion factor required for UOM: {0} in Item: {1},عامل تحويل UOM المطلوب لUOM : {0} في الصنف: {1}
Set Item Group-wise budgets on this Territory. You can also include seasonality by setting the Distribution.,تعيين ميزانيات على مستوى مجموعة الصنف في هذا الإقليم. يمكنك أيضا تضمين الموسمية عن طريق تعيين التوزيع.
Serial No is mandatory for Item {0},الرقم التسلسلي مطلوب للصنف {0}
Fixed Asset Item must be a non-stock item.,يجب أن يكون صنف الأصول الثابتة صنفا غير مخزون.
Serial No {0} does not belong to Item {1},الرقم المتسلسل {0} لا ينتمي إلى الصنف {1}
Material Request of maximum {0} can be made for Item {1} against Sales Order {2},الحد الأقصى لطلب المواد {0} للصنف {1} من أمر المبيعات {2}
{0} Serial Numbers required for Item {1}. You have provided {2}.,{0} الأرقام التسلسلية المطلوبة للصنف {1}. لقد قدمت {2}.
The total Issue / Transfer quantity {0} in Material Request {1}  \cannot be greater than requested quantity {2} for Item {3},إجمالي العدد / كمية النقل {0} في طلب المواد {1}  لا يمكن أن تكون أكبر من الكمية المطلوبة {2} للصنف {3}
Invalid quantity specified for item {0}. Quantity should be greater than 0.,كمية غير صالحة محددة للصنف {0}. يجب أن تكون الكمية أكبر من 0.
Item cannot be added to its own descendents,الصنف لا يمكن أن تضاف الى أحفادها
Item {0} is not setup for Serial Nos. Check Item master,الصنف {0} لم يتم إعداد الرقم المسلسل تحقق من الصنف الرئيسي
Item number,رقم  الصنف
Account Number,رقم الحساب
Account Budget Expense,نفقات ميزانية الحساب
Financial Item,الصنف المالي
Account,حساب
Item {0} is not setup for Serial Nos. Column must be blank,الصنف {0} لم يتم إعداده للأرقام التسلسلية يجب أن يكون العمود فارغا
{0} entered twice in Item Tax,{0} ادخل مرتين في ضريبة الصنف
Item Tax Row {0} must have account of type Tax or Income or Expense or Chargeable,صف ضريبة الصنف يجب أن يكون له {0} حسابا من نوع الضريبة أو الدخل أو المصاريف أو الرسوم
Sell Asset,بيع الأصول
Freight and Forwarding Charges,رسوم الشحن والتخليص
Opening Balance Equity,الرصيد الافتتاحي
Current Liabilities,الخصوم المتداولة
Accounts Receivable,المقبوضات
Stock In Hand,المخزون في المستودع
Stock Assets,المخزون
Securities and Deposits,الودائع والضمانات
Loans and Advances (Assets),القروض والدفعات المقدمة
Temporary Opening,حسابات مؤقتة افتتاحية
Capital Equipments,معدات رأسمالية
Furnitures and Fixtures,الآثاث
Plants and Machineries,المصانع والآلات
Exchange Gain/Loss,فرق عملة
Depreciation,مصاريف الاستهلاك
Direct Income,الإيرادات المباشرة
Indirect Income,الإيرادات الغير مباشرة
Income,الإيرادات
Office Rent,الإيجار
Utility Expenses,نفقات المرافق
Indirect Expenses,المصروفات غير المباشرة
Stock Adjustment,تسويات المستودع
Direct Expenses,المصروفات المباشرة
Expenses,المصروفات
Equity,حقوق الملكية
Loans (Liabilities),القروض (الخصوم)
Stock Received But Not Billed,بضاعة مستلمة غير مفوترة
Stock Liabilities,خصوم المخزون
Item Group Name,اسم مجموعة الصنف
All Customer Groups,جميع مجموعات العملاء
Price List Rate (SAR),معدل قائمة الأسعار(ريال سعودي)
Item Balance,رصيد الصنف
Print Style Name,اسم نمط الطباعة
Move,نقل
Project wise Stock Tracking,تتبع المخزون على مستوى المشروع
Operation Name,اسم العملية
Total Costing Amount,اجمالي مبلغ التكلفة
Set rate of sub-assembly item based on BOM,تعيين معدل صنف التجميع الفرعي استنادا إلى فاتورة المواد
Projected Quantity as Source,الكمية المتوقعة كمصدر
Type,نوع
Email Digest Settings,إعدادات حصاد البريد الإلكتروني
Queued for updating latest price in all Bill of Materials. It may take a few minutes.,قائمة الانتظار لتحديث أحدث الأسعار في جميع فواتير المواد. قد يستغرق بضع دقائق.
Scorecard Actions,إجراءات بطاقة الأداء
Scoring Setup,إعداد النتيجة
The BOM which will be replaced,فاتورة المواد التي سيتم استبدالها
The new BOM after replacement,فاتورة مواد جديدة بعد الإستبدال
Update latest price in all BOMs,تحديث أخر الأسعار في جميع فواتير المواد
Replace BOM,استبدال فاتورة المواد
BOM Update Tool,أداة تحديث فاتورة المواد
Production Planning Tool,أداة تخطيط الإنتاج
Get Items From,الحصول على الأصناف من
Your subscription will expire on {0}.,صلاحية اشتراكك ستنتهي في {0}.
Stock Qty,الكمية في المخزن
Follow Up,متابعة
Get current stock,الحصول على المخزون الحالي
"Update BOM cost automatically via Scheduler, based on latest valuation rate / price list rate / last purchase rate of raw materials.",تحديث تكلفة فاتورة المواد تلقائيا عبر جدولة، استنادا إلى أحدث معدل تقييم / معدل قائمة السعر / آخر معدل شراء المواد الخام.
Disables creation of time logs against Production Orders. Operations shall not be tracked against Production Order,تعطيل إنشاء سجلات زمنية مقابل أوامر الإنتاج. لا يجوز تتبع العمليات مقابل أمر الإنتاج
Over Production Allowance Percentage,أعلى نسبة ترخيص الإنتاج
Allow Production on Holidays,السماح بالإنتاج في الإجازة
Default Work In Progress Warehouse,العمل الافتراضي قيد تنفيذ المستودع
Update BOM Cost Automatically,تحديث تكلفة فاتورة المواد اتوماتيكيا
Get Suppliers By,الحصول على موردين من قبل
Add All Suppliers,إضافة جميع الموردين
Parameter Name,اسم العامل
Standing Name,اسم البطاقة
Path,المسار
Orange,برتقالي
Yellow,أصفر
Purple,أرجواني
Please set default Stock Adjustment Account in Company,الرجاء تعيين حساب تعديل المخزون في شركة
Please enter User ID,الرجاء ادخال مستخدم النظام
Get Items From Purchase Receipts,الحصول على أصناف من ايصالات الشراء
Receipt Document,وثيقة الاستلام
Receipt Document Type,نوع الوثيقة المستلمة
is the current company,هي الشركة الحالية
Mandatory fields required in,حقول إلزامية مطلوبة في
Latest,أحدث
Earliest,أسبق
Ordered Qty,كمية الطلبية
Reserved Qty for Production,الكمية المحجوزة للإنتاج
Requested Qty,الكمية المطلوبة
Planned Qty,الكمية المخطط لها
Balance Value,قيمة الرصيد
Opening Qty,الكمية الافتتاحية
Opening Value,القيمة الافتتاحية
Out Value,خارج القيمة
At least one of the Selling or Buying must be selected,يجب اختيار واحدة على الأقل من مبيعات أو مشتريات
Sales Order,أمر البيع
From Delivery Note,من مذكرة التسليم
Installation Date,تاريخ التثبيت
Installation Time,زمن التثبيت
Delivery Document Type,نوع وثيقة التسليم
Music,موسيقي
sr,تسلسل
For Quantity,لكمية
To Receive and Bill,للإستلام والفوترة
Check Supplier Invoice Number Uniqueness,التحقق من تفرد رقم فاتورة المورد
Kanban Board Name,اسم لوحة كانبان
User Permission,إذن المستخدم
"If you un-check this, you will have to apply manually for each Role + Document Type combination",إذا قمت بإلغاء تحديد هذا، سيكون لديك تطبيق يدويا لكل دور + مجموعة نوع المستند
Apply for all Roles for this User,تطبيق لجميع الأدوار لهذا المستخدم
For Value,للقيمة
Allow,السماح
Stock User,عضو المخزن
Projects User,عضو المشاريع
Accounts User,عضو الحسابات
Sales User,عضو المبيعات
Link to material requests,رابط إلى طلبات المواد
Get Suppliers,الحصول على موردين
Customer / Lead Address,عنوان العميل
With Items,مع الأصناف
Customer / Lead Name,إسم العميل
Allow Item to be added multiple times in a transaction,السماح للصنف بإضافته اكثر من مرة فى نفس المعاملة
If Owner,إذا كان المالك
Is Primary Contact,هو جهة الاتصال الرئيسي
First Name,الإسم الأول
Last Name,الإسم الأخير
Mobile No,رقم الموبايل
Invoiced Amount,مبلغ الفاتورة
Debit Note,ملاحظة الخصم
To Package No.,إلى رقم حزمة
Brand Name,اسم العلامة التجارية
Attribute Value,قيمة السمة
Attribute Name,اسم السمة
Item-wise Price List Rate,معدل قائمة الأسعار على مستوى الأصناف
Creation Document No,انشاء رقم الوثيقة
Delivery Document No,رقم وثيقة التسليم
Warranty Expiry Date,تاريخ انتهاء الضمان
Stock Ledger,دفتر أستاذ المخزون
Vehicle Date,تاريخ المركبة
Stock UOM,وحدة قياس المخزون
Required Date,التاريخ مطلوب
Rate at which customer's currency is converted to company's base currency,معدل تحويل عملة العملاء إلى العملة الأساسية للشركة
Rate at which Price list currency is converted to company's base currency,المعدل الذي يتم فيه تحويل عملة قائمة الأسعار إلى العملة الأساسية للشركة
Transporter Info,معلومات الناقل
Vehicle No,رقم المركبة
Transporter Name,اسم الناقل
Vehicle Dispatch Date,تاريخ إرسال المركبة
Remarks,ملاحظات
Use Multi-Level BOM,استخدام متعدد المستويات لفاتورة المواد
From BOM,من فاتورة المواد
Default Source Warehouse,مستودع المصدر الافتراضي
Source Warehouse,مستودع المصدر
Make Material Request,إنشاء طلب المواد
Vehicle Number,رقم المركبة
Item with child nodes cannot be converted to Non Group,الصنف مع عقد فرعية لا يمكن تحويلها إلى غير مجموعة
"Shown Number must be unique, Shown Number is already exist",الرقم الظاهر يجب أن يكون فريد وموجود بالفعل
Has Batch No,له رقم دفعة
Has Serial No,له رقم تسلسلي
Default Selling Cost Center,مركز تكلفة البيع
Valuation Method,طريقة التقييم
Default Material Request Type,نوع طلب المواد
Valid Till,صالح لغاية
New Customer Details,تفاصيل العملاء الجديدة
Income Account,حساب الدخل
Quotation Trends,اتجاهات عرض السعر
Supplier Scorecard,بطاقة أداء المورد
Prevent RFQs,منع طلب عرض الأسعار
Warn RFQs,تحذير طلب عرض الأسعار
Total Accepted Items,مجموع الأصناف المقبولة
Max Score,أقصى درجة
Criteria Weight,معايير الوزن
Criteria Formula,معايير الصيغة
Criteria Setup,إعدادات المعايير
Criteria Name,إسم المعايير
Variable Name,اسم المتغير
Warn Purchase Orders,تحذير طلبات الشراء
Prevent Purchase Orders,منع طلبات الشراء
Poor,رديء
Average,متوسط
Excellent,ممتاز
Max Grade,أقصى درجة
Min Grade,أقل درجة
Per Year,كل سنة
Per Week,كل أسبوع
Per Month,كل شهر
Evaluation Period,فترة التقييم
Item Price,سعر الصنف
City,المدينة
Role Allowed to edit frozen stock,الدور يسمح لتعديل الأسهم المجمدة
Notify by Email on creation of automatic Material Request,إشعار عن طريق البريد الإلكتروني على إنشاء طلب المواد تلقائيا
Allow user to edit Price List Rate in transactions,السماح للمستخدم بتعديل معدل قائمة الأسعار في المعاملات
Default Customer Group,مجموعة العملاء
Campaign Naming By,تسمية الحملة بواسطة
Buying Price List,شراء قائمة الأسعار
Supplier Naming By,تسمية المورد بواسطة
Default Supplier Type,نوع المورد
Supplier Scorecard Variable,متغير بطاقة أداء المورد
Billing Currency,عملة الفاتورة
shown_number,الرقم الظاهر
account_number,رقم الحساب
Total (Company Currency),المجموع (عملة الشركة)
Total Advance,مجموع المبلغ المدفوع مقدما
Outstanding Amount,المبلغ المستحق
Rounded Total (Company Currency),المجموع التقريبي (عملة الشركة)
Grand Total (Company Currency),المجموع الكلي (عملة الشركة)
Time Sheet,الجدول الزمني
Time Sheet List,قائمة الجدول الزمني
Price List Currency,عملة قائمة السعر
Price List Exchange Rate,معدل قائمة اسعار الصرف
Asset Depreciation Ledger,دفتر أستاذ استهلاك الأصول
Date Settings,إعدادات التسجيل
Message to show,رسالة للعرض
Cheque Height,إرتفاع الشيك
Cheque Size,حجم الشيك
Is Account Payable,حساب الدفع
View Ledger,عرض دفتر الأستاذ
Publish on website,نشر على الموقع
Supplier Delivery Note,مذكرة تسليم المورد
Mention if non-standard receivable account,أذكر إزا كان الحساب المستحق غير قياسي
Delete Company Transactions,حذف معاملات الشركة
Round Off Account,حساب ختم
Round Off Cost Center,مركز تكلفة ختم
Purchase Invoice Trends,اتجاهات فاتورة الشراء
Unreconciled Payment Details,تفاصيل الدفع لم تتم تسويتها
Please select Company and Party Type first,الرجاء تحديد الشركة ونوع المستفيد أولا
Maximum Invoice Amount,الحد الأقصى لمبلغ الفاتورة
Minimum Invoice Amount,الحد الأدنى لمبلغ الفاتورة
Receivable / Payable Account,ذمم دائنة/مدينة
Payment Gateway Account,حساب بوابة الدفعة
Default Payment Request Message,رسالة طلب الدفعة
Amount to Bill,المبلغ إلى الفاتورة
Suplier,المورد
Suplier Name,اسم المورد
